filename,client_ip,start_time,end_time,duration_sec,median_down_loss_pct,mean_down_loss_pct,median_up_loss_pct,mean_up_loss_pct,median_down_bps,mean_down_bps,median_up_bps,mean_up_bps,median_down_fps,mean_down_fps,median_up_fps,mean_up_fps,median_down_jitter_ms,mean_down_jitter_ms,median_up_jitter_ms,mean_up_jitter_ms,median_down_video_bitrate_bps,mean_down_video_bitrate_bps,median_up_video_bitrate_bps,mean_up_video_bitrate_bps,median_down_audio_bps,mean_down_audio_bps,median_up_audio_bps,mean_up_audio_bps
Session_10.184.8.146_1781801386377808893.csv,10.184.8.146,2026-06-18 16:49:46 UTC,2026-06-19 02:09:07 UTC,33560.895023836,0.09025270758122744,2.8305499494194875,0.0,0.11241634758497927,1590896.0,1371121.5802174883,1587204.8,1410770.9354387012,29.99798671230119,29.1158672881398,14.970665587699779,14.852015842119348,5.166086211513273,18.466918483114807,10.29097576657262,25.38437457030395,1585295.6956956957,1319105.155640163,1596493.8625231534,1337908.6433998672,16284.8,24264.1704156115,20169.6,36281.39073439595
Session_10.184.61.214_1781796355050255307.csv,10.184.61.214,2026-06-18 15:25:55 UTC,2026-06-18 21:13:11 UTC,20836.69233728,2.7921012539552326,8.539170572737191,0.0,1.196274979116313,1588624.7999999998,1655730.5547024952,2549172.0,2848019.2495201537,22.945551306423766,21.9882889169264,24.580275869274864,22.827087262602525,13.0047743866254,19.89981572400394,22.92372998428915,33.4626859170332,1443618.6730165642,1215611.062965723,971305.2066559313,1021618.2340002746,36863.2,188750.1424184261,67100.0,213290.45220729365
Session_10.184.32.197_1781799465683693946.csv,10.184.32.197,2026-06-18 16:17:45 UTC,2026-06-18 19:30:00 UTC,11534.893542579,41.36622390891841,41.76148760275444,0.0,0.03307955520789012,23065.6,133750.77867360206,45993.6,125891.86926744689,14.90733279613215,14.540981724071997,9.809044136287028,9.871493614927738,71.56247077041726,131.18399363567528,102.10768081366423,145.16036589690475,307987.198634521,466100.6456203719,126363.878112197,299682.3943097162,16539.2,19408.838491547463,39107.2,49132.03918508886
Session_2001_df4_e000_3fd2_79bd_ee62_e0a0_51d8_1781798695012650452.csv,2001_df4_e000_3fd2_79bd_ee62_e0a0_51d8,2026-06-18 16:04:55 UTC,2026-06-18 19:16:35 UTC,11500.871918251,33.18181818181819,36.73702774169503,0.0,0.0793182285705614,23129.6,225634.54421649931,452531.2,535054.6933216936,19.809985850010108,18.528191829869748,19.955654101995563,19.273797085307574,22.564744960569143,45.90162500761435,15.520094703331992,24.333393754066787,1069439.1577242357,953713.9037836534,453683.87096774194,597687.1277370463,15715.2,23652.18472282846,61652.8,48993.95966826713
Session_10.184.46.174_1781780392555114160.csv,10.184.46.174,2026-06-18 10:59:52 UTC,2026-06-18 14:06:58 UTC,11226.322516588,2.507836990595611,7.3163631406010685,0.0,0.030957336731144775,451004.8,447224.9977728285,804228.8,861147.8385746102,15.007097951733929,15.088099450925808,20.915965935475803,21.079933081141107,11.214303749824603,15.219775301481713,58.10966175120002,87.81444714917748,452497.362211711,453152.50971660047,450242.0113909235,525267.4801665305,3294.4,7718.170512249442,69232.0,73785.88792873052
Session_10.184.46.174_1781801755184165546.csv,10.184.46.174,2026-06-18 16:55:55 UTC,2026-06-18 19:54:08 UTC,10693.091655222,5.646036916395222,18.875600924434142,0.0,0.010752319488224499,278827.2,514230.94964705885,986940.8,984458.1662117646,14.717741935483872,14.526210091533395,26.23030251107876,21.94738116387633,12.114826700389088,20.821081971413516,13.392237623191573,63.6067177950138,1065337.8567152265,965360.4212750449,736932.5307963191,892360.8138592952,3868.8,8206.323199999999,46768.0,56769.120376470586
Session_10.184.61.7_1781774983428411118.csv,10.184.61.7,2026-06-18 09:29:43 UTC,2026-06-18 12:20:20 UTC,10237.022710075,0.0,24.960089355407487,0.0,0.01857278717909857,1776.0,7130.052343750001,402741.6,395021.48671875,0.0,0.0,1.0,1.2771285342237861,0.0,0.0,2.3397170000000074,34.68912727431554,0.0,0.0,13228.0,17271.442709184612,1776.0,7130.052343750001,402502.4,394779.71953124995
Session_2001_df4_e000_3fd2_2f3d_da8b_a88_6123_1781796055222796262.csv,2001_df4_e000_3fd2_2f3d_da8b_a88_6123,2026-06-18 15:20:55 UTC,2026-06-18 17:58:53 UTC,9478.717989363,8.706742101283998,9.352240840120492,0.0,0.04358510464586028,2100660.8,1971644.5805907175,468528.8,735521.68185654,25.162594150367703,23.970648256304234,29.15158825894652,24.85490153718762,32.34760550352682,37.89816134448224,7.867184022049773,9.198168845781815,1253987.5475419213,1130508.5400531737,455187.3784349631,716732.3064624993,35527.2,37943.48185654008,17635.199999999997,27014.32742616034
Session_10.184.50.235_1781804862753013570.csv,10.184.50.235,2026-06-18 17:47:42 UTC,2026-06-18 20:19:19 UTC,9096.97936035,4.314114661287174,7.462159599069158,0.0,0.26032818232628047,1557442.4,1582247.8804395602,3303775.2,3112347.2993406593,22.073587558922696,19.39050130716158,28.571428571428573,27.149291369325454,10.215360241018338,14.136518197959656,8.677515050110504,15.307313369020285,1369101.1805597753,1164432.8384381644,1089052.815247299,1077677.5917438923,4336.0,7739.488351648352,30471.2,31409.901538461538
Session_10.184.26.160_1781773675620122607.csv,10.184.26.160,2026-06-18 09:07:55 UTC,2026-06-18 11:38:24 UTC,9028.384249382,1.9704911667637353,5.17420531523819,0.0,0.0008172890067804337,427746.4,533187.7156146179,228745.6,233025.98981173866,9.981666327154207,10.98402203253737,21.13561483997826,19.804409431656932,33.06923822715565,57.94847381015059,20.052593416280374,62.28750127357315,279668.004137108,418671.44531171484,182430.65554887365,183140.28194569403,5524.799999999999,18259.654485049832,54172.8,54233.23588039867
